# Partner motif	Anchor	Partner TF	Partner Motif	Anchor pAUC	Partner pAUC	A&P pAUC	Ratio	Similarity		Partner Class	Partner Family
1	PEAKS039234_BHLHA15_pwm.binary	Atf2	JUN.H12CORE.0.P.B	250.933763	14.637400	187.601199	0.747612	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
2	PEAKS039234_BHLHA15_pwm.binary	Atf2	JUN.H12CORE.1.S.C	250.933763	9.701265	188.786589	0.752336	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
3	PEAKS039234_BHLHA15_pwm.binary	Atf7	JUNB.H12CORE.0.PM.A	250.933763	11.395114	180.776381	0.720415	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
4	PEAKS039234_BHLHA15_pwm.binary	Bach1	JUNB.H12CORE.1.S.C	250.933763	10.529227	165.302031	0.658748	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
5	PEAKS039234_BHLHA15_pwm.binary	Bach2	JUND.H12CORE.0.PM.A	250.933763	12.699063	172.582870	0.687763	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
6	PEAKS039234_BHLHA15_pwm.binary	Bach2	JUND.H12CORE.1.SM.B	250.933763	8.633818	169.278067	0.674593	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
7	PEAKS039234_BHLHA15_pwm.binary	Creb5	BACH1.H12CORE.0.P.B	250.933763	12.011134	179.724144	0.716221	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
8	PEAKS039234_BHLHA15_pwm.binary	Creb5	BACH2.H12CORE.0.P.B	250.933763	8.308997	176.766829	0.704436	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
9	PEAKS039234_BHLHA15_pwm.binary	Jun	BACH2.H12CORE.1.SM.B	250.933763	10.486198	176.011909	0.701428	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
10	PEAKS039234_BHLHA15_pwm.binary	Jun	NFE2.H12CORE.0.P.B	250.933763	17.040979	186.870660	0.744701	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
11	PEAKS039234_BHLHA15_pwm.binary	Junb	NFE2.H12CORE.1.SM.B	250.933763	16.830268	205.339386	0.818301	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
12	PEAKS039234_BHLHA15_pwm.binary	Junb	NF2L1.H12CORE.0.P.B	250.933763	14.295773	191.165476	0.761816	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
13	PEAKS039234_BHLHA15_pwm.binary	Jund	NF2L2.H12CORE.0.P.B	250.933763	11.462942	183.598647	0.731662	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
14	PEAKS039234_BHLHA15_pwm.binary	Jund	NF2L2.H12CORE.1.P.B	250.933763	9.349969	178.718212	0.712213	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
15	PEAKS039234_BHLHA15_pwm.binary	Nfe2	ATF2.H12CORE.0.PSM.A	250.933763	10.878724	158.425165	0.631343	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
16	PEAKS039234_BHLHA15_pwm.binary	Nfe2	ATF2.H12CORE.1.P.B	250.933763	6.969512	162.189190	0.646343	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
17	PEAKS039234_BHLHA15_pwm.binary	Nfe2l1	ATF7.H12CORE.0.PSM.A	250.933763	8.422787	161.592584	0.643965	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
18	PEAKS039234_BHLHA15_pwm.binary	Nfe2l2	CREB5.H12CORE.0.P.B	250.933763	7.800477	167.580708	0.667828	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
19	PEAKS039234_BHLHA15_pwm.binary	Nfe2l2	CREB5.H12CORE.1.SM.B	250.933763	6.996730	175.424306	0.699086	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
20	PEAKS039234_BHLHA15_pwm.binary	Atf3	FOS.H12CORE.0.P.B	250.933763	17.407979	195.891591	0.780651	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Fos-related {1.1.2}
21	PEAKS039234_BHLHA15_pwm.binary	Atf3	FOS.H12CORE.1.S.C	250.933763	15.333771	203.894886	0.812545	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Fos-related {1.1.2}
22	PEAKS039234_BHLHA15_pwm.binary	Atf3	FOS.H12CORE.2.S.C	250.933763	10.517314	183.321984	0.730559	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Fos-related {1.1.2}
23	PEAKS039234_BHLHA15_pwm.binary	Atf3	FOSB.H12CORE.0.P.B	250.933763	6.493257	171.848911	0.684838	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Fos-related {1.1.2}
24	PEAKS039234_BHLHA15_pwm.binary	Fos	FOSB.H12CORE.1.M.C	250.933763	13.675138	167.506355	0.667532	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Fos-related {1.1.2}
25	PEAKS039234_BHLHA15_pwm.binary	Fos	FOSB.H12CORE.2.M.C	250.933763	10.260029	202.975933	0.808883	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Fos-related {1.1.2}
26	PEAKS039234_BHLHA15_pwm.binary	Fos	FOSL1.H12CORE.0.P.B	250.933763	9.977402	175.615778	0.699849	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Fos-related {1.1.2}
27	PEAKS039234_BHLHA15_pwm.binary	Fosb	FOSL2.H12CORE.0.P.B	250.933763	27.070981	297.940466	1.187327	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Fos-related {1.1.2}
28	PEAKS039234_BHLHA15_pwm.binary	Fosb	ATF3.H12CORE.0.P.B	250.933763	5.807995	181.887517	0.724843	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Fos-related {1.1.2}
29	PEAKS039234_BHLHA15_pwm.binary	Fosb	ATF3.H12CORE.1.P.B	250.933763	13.531553	166.827721	0.664828	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Fos-related {1.1.2}
30	PEAKS039234_BHLHA15_pwm.binary	Fosl1	ATF3.H12CORE.2.P.B	250.933763	10.625556	188.888935	0.752744	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Fos-related {1.1.2}
31	PEAKS039234_BHLHA15_pwm.binary	Fosl2	ATF3.H12CORE.3.SM.B	250.933763	9.994835	166.505778	0.663545	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Fos-related {1.1.2}
32	PEAKS039234_BHLHA15_pwm.binary	Jdp2	JDP2.H12CORE.0.SM.B	250.933763	7.541498	176.495023	0.703353	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Fos-related {1.1.2}
33	PEAKS039234_BHLHA15_pwm.binary	Maf	MAF.H12CORE.0.PM.A	250.933763	15.492354	149.606455	0.596199	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Maf-related {1.1.3}
34	PEAKS039234_BHLHA15_pwm.binary	Maf	MAF.H12CORE.1.PSM.A	250.933763	9.246328	168.456574	0.671319	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Maf-related {1.1.3}
35	PEAKS039234_BHLHA15_pwm.binary	Mafa	MAFA.H12CORE.0.PSM.A	250.933763	10.031537	157.776987	0.628759	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Maf-related {1.1.3}
36	PEAKS039234_BHLHA15_pwm.binary	Mafa	MAFA.H12CORE.1.M.C	250.933763	15.853524	157.538463	0.627809	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Maf-related {1.1.3}
37	PEAKS039234_BHLHA15_pwm.binary	Mafb	MAFB.H12CORE.0.PS.A	250.933763	12.398180	171.382801	0.682980	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Maf-related {1.1.3}
38	PEAKS039234_BHLHA15_pwm.binary	Mafb	MAFB.H12CORE.1.P.B	250.933763	31.309975	244.351993	0.973771	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Maf-related {1.1.3}
39	PEAKS039234_BHLHA15_pwm.binary	Maff	NRL.H12CORE.0.SM.B	250.933763	11.343167	169.259936	0.674520	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Maf-related {1.1.3}
40	PEAKS039234_BHLHA15_pwm.binary	Maff	NRL.H12CORE.1.SM.B	250.933763	7.486310	152.093886	0.606112	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Maf-related {1.1.3}
41	PEAKS039234_BHLHA15_pwm.binary	Mafg	MAFF.H12CORE.0.PSM.A	250.933763	13.321217	161.716297	0.644458	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Maf-related {1.1.3}
42	PEAKS039234_BHLHA15_pwm.binary	Mafg	MAFF.H12CORE.1.PSM.A	250.933763	13.512718	163.576179	0.651870	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Maf-related {1.1.3}
43	PEAKS039234_BHLHA15_pwm.binary	Mafk	MAFG.H12CORE.0.PSM.A	250.933763	15.254583	168.327703	0.670805	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Maf-related {1.1.3}
44	PEAKS039234_BHLHA15_pwm.binary	Mafk	MAFG.H12CORE.1.PSM.A	250.933763	15.201706	168.776386	0.672593	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Maf-related {1.1.3}
45	PEAKS039234_BHLHA15_pwm.binary	Mafk	MAFK.H12CORE.0.PS.A	250.933763	8.394423	166.813142	0.664770	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Maf-related {1.1.3}
46	PEAKS039234_BHLHA15_pwm.binary	Nrl	MAFK.H12CORE.1.P.B	250.933763	8.424647	158.512239	0.631690	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Maf-related {1.1.3}
47	PEAKS039234_BHLHA15_pwm.binary	Nrl	MAFK.H12CORE.2.S.B	250.933763	5.574127	165.561676	0.659782	1.000000		Basic leucine zipper factors (bZIP) {1.1}	Maf-related {1.1.3}
