# Partner motif	Anchor	Partner TF	Partner Motif	Anchor pAUC	Partner pAUC	A&P pAUC	Ratio		Partner Class	Partner Family
1	PEAKS039234_BHLHA15_pwm.binary	Atf2	ATF2.H12CORE.0.PSM.A	7.557501	1.185333	7.073739	0.935989		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
2	PEAKS039234_BHLHA15_pwm.binary	Atf2	ATF2.H12CORE.1.P.B	7.557501	1.133564	6.916215	0.915146		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
3	PEAKS039234_BHLHA15_pwm.binary	Atf7	ATF7.H12CORE.0.PSM.A	7.557501	1.250311	7.105147	0.940145		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
4	PEAKS039234_BHLHA15_pwm.binary	Bach1	BACH1.H12CORE.0.P.B	7.557501	1.737352	7.084545	0.937419		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
5	PEAKS039234_BHLHA15_pwm.binary	Bach2	BACH2.H12CORE.0.P.B	7.557501	1.551420	7.035659	0.930950		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
6	PEAKS039234_BHLHA15_pwm.binary	Bach2	BACH2.H12CORE.1.SM.B	7.557501	1.098935	7.026942	0.929797		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
7	PEAKS039234_BHLHA15_pwm.binary	Creb5	CREB5.H12CORE.0.P.B	7.557501	1.388067	7.160244	0.947435		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
8	PEAKS039234_BHLHA15_pwm.binary	Creb5	CREB5.H12CORE.1.SM.B	7.557501	1.107511	7.104450	0.940053		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
9	PEAKS039234_BHLHA15_pwm.binary	Jun	JUN.H12CORE.0.P.B	7.557501	1.660990	7.038724	0.931356		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
10	PEAKS039234_BHLHA15_pwm.binary	Jun	JUN.H12CORE.1.S.C	7.557501	1.431657	7.046447	0.932378		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
11	PEAKS039234_BHLHA15_pwm.binary	Junb	JUNB.H12CORE.0.PM.A	7.557501	1.581871	7.009146	0.927442		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
12	PEAKS039234_BHLHA15_pwm.binary	Junb	JUNB.H12CORE.1.S.C	7.557501	1.274349	7.025748	0.929639		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
13	PEAKS039234_BHLHA15_pwm.binary	Jund	JUND.H12CORE.0.PM.A	7.557501	1.473879	7.075407	0.936210		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
14	PEAKS039234_BHLHA15_pwm.binary	Jund	JUND.H12CORE.1.SM.B	7.557501	1.428486	6.981804	0.923824		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
15	PEAKS039234_BHLHA15_pwm.binary	Nfe2	NFE2.H12CORE.0.P.B	7.557501	1.758768	7.031471	0.930396		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
16	PEAKS039234_BHLHA15_pwm.binary	Nfe2	NFE2.H12CORE.1.SM.B	7.557501	1.084342	6.974687	0.922883		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
17	PEAKS039234_BHLHA15_pwm.binary	Nfe2l1	NF2L1.H12CORE.0.P.B	7.557501	1.789243	7.100576	0.939540		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
18	PEAKS039234_BHLHA15_pwm.binary	Nfe2l2	NF2L2.H12CORE.0.P.B	7.557501	1.453586	7.017277	0.928518		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
19	PEAKS039234_BHLHA15_pwm.binary	Nfe2l2	NF2L2.H12CORE.1.P.B	7.557501	1.742898	7.180397	0.950102		Basic leucine zipper factors (bZIP) {1.1}	Jun-related {1.1.1}
20	PEAKS039234_BHLHA15_pwm.binary	Atf3	ATF3.H12CORE.0.P.B	7.557501	1.655817	7.119871	0.942093		Basic leucine zipper factors (bZIP) {1.1}	Fos-related {1.1.2}
21	PEAKS039234_BHLHA15_pwm.binary	Atf3	ATF3.H12CORE.1.P.B	7.557501	1.544807	7.096095	0.938947		Basic leucine zipper factors (bZIP) {1.1}	Fos-related {1.1.2}
22	PEAKS039234_BHLHA15_pwm.binary	Atf3	ATF3.H12CORE.2.P.B	7.557501	1.545850	7.137048	0.944366		Basic leucine zipper factors (bZIP) {1.1}	Fos-related {1.1.2}
23	PEAKS039234_BHLHA15_pwm.binary	Atf3	ATF3.H12CORE.3.SM.B	7.557501	1.172994	7.153886	0.946594		Basic leucine zipper factors (bZIP) {1.1}	Fos-related {1.1.2}
24	PEAKS039234_BHLHA15_pwm.binary	Fos	FOS.H12CORE.0.P.B	7.557501	1.626003	7.172367	0.949040		Basic leucine zipper factors (bZIP) {1.1}	Fos-related {1.1.2}
25	PEAKS039234_BHLHA15_pwm.binary	Fos	FOS.H12CORE.1.S.C	7.557501	1.307262	7.023415	0.929330		Basic leucine zipper factors (bZIP) {1.1}	Fos-related {1.1.2}
26	PEAKS039234_BHLHA15_pwm.binary	Fos	FOS.H12CORE.2.S.C	7.557501	1.462248	7.105692	0.940217		Basic leucine zipper factors (bZIP) {1.1}	Fos-related {1.1.2}
27	PEAKS039234_BHLHA15_pwm.binary	Fosb	FOSB.H12CORE.0.P.B	7.557501	1.546431	6.934458	0.917560		Basic leucine zipper factors (bZIP) {1.1}	Fos-related {1.1.2}
28	PEAKS039234_BHLHA15_pwm.binary	Fosb	FOSB.H12CORE.1.M.C	7.557501	1.254193	6.932545	0.917307		Basic leucine zipper factors (bZIP) {1.1}	Fos-related {1.1.2}
29	PEAKS039234_BHLHA15_pwm.binary	Fosb	FOSB.H12CORE.2.M.C	7.557501	1.176897	6.995380	0.925621		Basic leucine zipper factors (bZIP) {1.1}	Fos-related {1.1.2}
30	PEAKS039234_BHLHA15_pwm.binary	Fosl1	FOSL1.H12CORE.0.P.B	7.557501	1.625500	7.119158	0.941999		Basic leucine zipper factors (bZIP) {1.1}	Fos-related {1.1.2}
31	PEAKS039234_BHLHA15_pwm.binary	Fosl2	FOSL2.H12CORE.0.P.B	7.557501	1.612061	7.071981	0.935757		Basic leucine zipper factors (bZIP) {1.1}	Fos-related {1.1.2}
32	PEAKS039234_BHLHA15_pwm.binary	Jdp2	JDP2.H12CORE.0.SM.B	7.557501	1.341349	7.062535	0.934507		Basic leucine zipper factors (bZIP) {1.1}	Fos-related {1.1.2}
33	PEAKS039234_BHLHA15_pwm.binary	Maf	MAF.H12CORE.0.PM.A	7.557501	1.924684	7.133539	0.943902		Basic leucine zipper factors (bZIP) {1.1}	Maf-related {1.1.3}
34	PEAKS039234_BHLHA15_pwm.binary	Maf	MAF.H12CORE.1.PSM.A	7.557501	1.845660	7.082243	0.937114		Basic leucine zipper factors (bZIP) {1.1}	Maf-related {1.1.3}
35	PEAKS039234_BHLHA15_pwm.binary	Mafa	MAFA.H12CORE.0.PSM.A	7.557501	1.900477	7.179157	0.949938		Basic leucine zipper factors (bZIP) {1.1}	Maf-related {1.1.3}
36	PEAKS039234_BHLHA15_pwm.binary	Mafa	MAFA.H12CORE.1.M.C	7.557501	1.694197	7.060719	0.934266		Basic leucine zipper factors (bZIP) {1.1}	Maf-related {1.1.3}
37	PEAKS039234_BHLHA15_pwm.binary	Mafb	MAFB.H12CORE.0.PS.A	7.557501	1.702426	7.090886	0.938258		Basic leucine zipper factors (bZIP) {1.1}	Maf-related {1.1.3}
